% Iron Feed,% Silica Feed,Starch Flow,Amina Flow,Ore Pulp Flow,Ore Pulp pH,Ore Pulp Density,Flotation Column 01 Air Flow,Flotation Column 02 Air Flow,Flotation Column 03 Air Flow,Flotation Column 04 Air Flow,Flotation Column 05 Air Flow,Flotation Column 06 Air Flow,Flotation Column 07 Air Flow,Flotation Column 01 Level,Flotation Column 02 Level,Flotation Column 03 Level,Flotation Column 04 Level,Flotation Column 05 Level,Flotation Column 06 Level,Flotation Column 07 Level,% Iron Concentrate,% Silica Concentrate,day,week
54.95,17.4,3424.41,592.651,388.477,10.0958,1.76,251.807,250.488,250.049,295.096,306.4,250.488,253.345,554.541,560.74,560.59,544.14,549.68,517.49,504.31,66.52,1.81,1,1
54.95,17.4,3494.24,569.458,407.607,10.2589,1.77,250.51,256.729,247.961,295.096,306.4,250.466,248.115,566.553,561.305,546.46,540.858,565.318,572.324,560.141,65.55,2.83,1,1
54.95,17.4,3989.84,457.397,398.262,10.2048,1.78,252.993,253.257,249.302,295.096,306.4,248.423,249.609,552.039,562.332,548.828,557.658,543.288,570.924,583.322,65.55,2.83,1,1
54.95,17.4,4430.66,573.12,397.852,10.009,1.78,249.39,244.556,250.708,295.096,306.4,250.049,250.269,554.041,530.16,561.13,553.12,514.43,526.46,541.83,65.55,2.83,1,1
54.95,17.4,4429.1,550.903,397.969,10.084,1.77711,248.818,246.797,248.071,295.096,306.4,249.653,250.664,562.048,547.146,557.354,553.282,580.634,584.812,559.484,65.55,2.83,1,1
54.95,17.4,5284.77,551.453,401.807,10.2394,1.78,250.049,249.28,251.587,295.096,306.4,250.159,249.5,523.26,545.165,560.055,541.995,526.545,559.5,530.24,66.74,1.5,1,1
54.95,17.4,4275.39,538.818,393.164,10.4156,1.766,249.214,249.785,250.488,295.096,306.4,250.752,250.752,541.428,539.786,517.214,551.248,521.81,537.996,563.234,66.74,1.5,1,1
54.95,17.4,4037.11,544.678,396.592,10.4448,1.78,252.839,246.863,250.269,295.096,306.4,250.005,249.346,557.644,541.771,544.133,539.176,566.146,561.46,544.197,66.26,1.94,1,1
54.95,17.4,4726.56,511.963,398.906,10.3311,1.78,248.994,246.709,249.126,295.096,306.4,249.829,250.181,553.44,540.582,546.562,541.408,546.374,564.428,542.818,66.26,1.94,1,1
54.95,17.4,4946.78,518.616,395.537,10.273,1.78934,251.697,251.345,250.818,295.096,306.4,249.895,250.972,530.417,536.213,547.424,549.768,564.496,531.444,532.062,67.6,1.09,1,1
55.99,17.16,5347.07,506.592,396.68,10.2371,1.78621,251.587,250.928,252.246,295.096,306.4,249.829,250.049,558.545,551.11,555.74,551.56,553.54,481.65,489.41,67.3,1.51,1,1
55.99,17.16,5265.63,492.615,410.771,10.402,1.78,251.411,249.543,249.873,295.096,306.4,249.807,251.082,555.342,546.246,551.637,540.974,550.34,532.116,556.78,67.3,1.51,1,1
55.99,17.16,5185.83,571.289,396.621,10.4419,1.78731,248.555,245.127,247.764,295.096,306.4,250.137,250.049,544.231,555.64,532,562.34,563.01,514.468,542.154,66.3,1.96,1,1
55.99,17.16,5697.27,550.973,386.509,10.2853,1.76,249.327,253.69,251.493,295.096,306.4,250.204,251.179,528.73,565.033,565.681,556.306,532.921,527.653,514.314,66.3,1.96,1,1
55.99,17.16,5404.88,529.907,397.559,10.2317,1.76,248.599,251.455,248.071,295.096,306.4,250.137,250.005,546.533,529.814,550.448,555.858,560.804,571.036,523.726,66.21,3.57,1,1
55.99,17.16,5326.56,507.202,396.973,10.2962,1.75,252.026,250.488,251.587,295.096,306.4,249.28,249.829,561.047,544.315,556.005,536.915,540.59,571.82,579.07,66.21,3.57,1,1
55.99,17.16,4170.9,471.924,396.211,10.4606,1.75952,249.126,248.95,251.807,295.096,306.4,250.049,250.269,560.947,544.542,558.434,559.686,556.842,570.588,530.902,67.24,1.12,1,1
55.99,17.16,4935.55,442.383,393.076,10.3272,1.74494,251.895,245.566,251.477,295.096,306.4,249.895,249.214,551.588,549.981,554.498,544.02,551.825,535.077,534.818,67.24,1.12,1,1
55.99,17.16,4299.22,430.42,405.352,10.0926,1.75,247.544,245.654,247.632,295.096,306.4,249.829,249.873,566.653,527.55,551.422,548.284,571.49,650.9,621.17,66.23,1.49,1,1
55.99,17.16,5778.71,454.407,397.705,10.0112,1.70232,253.63,255.454,251.455,295.096,306.4,250.291,251.191,463.102,456.03067,459.106,489.175,486.175,452.194,385.564,66.42,1.47,1,1
55.99,17.16,4453.32,437.012,404.004,10.1692,1.68828,252.246,258.618,250.269,295.096,306.4,249.39,247.192,436.426,503.54,459.7,654.83575,556.84,443.01,461.82,66.42,1.47,1,1
55.99,17.16,3303.32,430.176,391.201,10.0816,1.73,249.917,249.785,250.203,295.096,306.4,249.456,248.511,554.891,543.979,539.335,445.857,462.11,477.394,500.778,67.16,1.16,1,1
55.99,17.16,4427.83,442.261,402.422,9.91557,1.73282,252.158,249.434,249.258,295.096,306.4,250.049,250.225,554.441,552.246,557.136,462.028,473.672,458.466,472.084,67.16,1.16,1,1
55.99,17.16,4883.3,374.39,398.936,9.85705,1.64838,248.027,253.74,249.829,295.096,306.4,249.961,249.434,535.472,548.679,553.795,234.09877,499.946,542.812,520.748,67.17,1.15,2,1
55.99,17.16,4707.71,318.726,395.098,9.87755,1.59177,247.983,246.313,251.323,295.096,306.4,249.873,249.917,548.735,553.38,558.224,669.9646,614.124,624.242,647.929,67.17,1.15,2,1
55.99,17.16,5331.64,307.007,396.973,9.97026,1.52207,252.136,250.378,249.719,295.096,306.4,249.939,249.39,546.283,556.495,548.995,222.27042,568.13,548.3,535.76,67.03,1.23,2,1
55.99,17.16,5169.34,327.637,392.988,10.195,1.64993,247.939,250.4,252.07,295.096,306.4,249.741,248.906,552.439,554.964,549.156,438.36,469.374,544.94,550.544,67.03,1.23,2,1
60.66,8.25,5835.35,375.305,400.225,10.2756,1.72941,248.555,249.807,248.313,295.096,306.4,249.5,249.104,558.745,539.498,545.652,627.461,580.246,568.236,602.626,67.44,1.17,2,1
60.66,8.25,3262.21,357.422,395.801,10.3476,1.74386,247.148,248.379,250.269,295.096,306.4,249.961,245.522,556.042,562.104,548.29,267.342,468.828,568.908,433.35,66.4,2.5,2,1
60.66,8.25,3027.73,371.307,397.046,10.2988,1.75,253.092,251.971,253.125,295.096,306.4,250.95,251.18,527.014,538.005,541.656,520.232,547.147,542.84,529.193,66.4,2.5,2,1
60.66,8.25,3218.75,338.623,396.855,10.1204,1.74446,248.258,248.84,249.082,295.096,306.4,249.346,248.533,542.98,519.929,546.803,429.975,543.18,538.248,521.41,65.12,4.14,2,1
60.66,8.25,3187.01,329.651,394.629,9.97673,1.73,248.906,253.422,248.928,295.096,306.4,253.059,247.214,538.6,545.535,565.666,382.361,557.307,553.788,541.83,65.12,4.14,2,1
60.66,8.25,3127.54,311.859,401.147,10.0991,1.74167,253.246,257.124,250.675,295.096,306.4,244.028,246.907,554.116,544.117,544.788,541.756,547.06,546.704,539.182,64.26,3.34,2,1
60.66,8.25,2979.49,326.843,402.1,10.2401,1.76,247.742,246.423,250.928,295.096,306.4,248.181,248.895,550.662,548.422,542.652,381.35,556.43,549.98,564.45,64.26,3.34,2,1
60.66,8.25,2327.83,313.11,403.623,10.0294,1.75943,251.938,247.203,250.785,295.096,306.4,247.225,250.192,549.336,544.174,615.411,587.327,492.014,556.98,607.651,64.08,4.08,2,1
60.66,8.25,1126.76,381.348,407.197,9.68826,1.73997,251.927,252.356,250.763,295.096,306.4,251.422,252.411,555.217,556.549,559.974,480.543,518.039,555.356,591.427,64.08,4.08,2,1
60.66,8.25,2221.09,314.606,397.207,9.52208,1.64053,250.126,248.577,250.367,295.096,306.4,251.279,249.554,542.755,567.596,543.141,645.819,614.784,585.344,646.548,63.53,5.36,2,1
59.89,8.98,2619.43,338.745,402.202,9.73002,1.65172,248.95,249.247,250.027,295.096,306.4,250.247,254.652,542.654,553.746,554.876,598.787,577,523.041,544.201,63.33,4.96,2,1
59.89,8.98,2660.64,371.094,397.998,10.0422,1.70835,248.071,246.588,249.17,295.096,306.4,252.521,251.752,552.039,545.17,550.88,381.155,402.345,519.31,476.445,63.33,4.96,2,1
59.89,8.98,2640.04,406.708,388.828,10.1057,1.73281,248.807,248.489,249.95,295.096,306.4,247.137,247.994,561.348,550.15,570.896,190.96185,587.768,563.616,581.632,63.33,4.96,2,1
59.89,8.98,2534.18,550.741,398.298,9.8921,1.74725,250.698,252.424,249.787,295.096,306.4,250.269,252.382,550.251,559.552,561.541,553.873,537.375,550.513,631.76,63.33,4.96,2,1
59.89,8.98,1090.53,486.877,398.569,9.6457,1.5301508,251.576,249.214,249.807,295.096,306.4,250.06,249.851,795.026,814.31396,860.615,504.722,458.743,585.82,464.607,65.15,2.97,2,1
59.89,8.98,750.4956,564.301,399.36,9.40254,1.76,249.005,249.335,249.642,295.096,306.4,248.95,248.555,558.82,366.043,544.14,532.281,559.04,536.54,559.563,65.15,2.97,2,1
59.89,8.98,2263.67,556.335,394.995,9.29147,1.77,252.846,250.928,250.104,295.096,306.4,245.27,252.521,551.413,226.137,549.935,493.555,534.945,540.18,515.62,65.65,2.67,2,1
59.89,8.98,2483.01,534.393,391.04,9.42677,1.76,246.808,254.795,251.422,295.096,306.4,249.664,249.84,507.896,252.7539,519.667,570.566,558.108,541.02,513.657,65.65,2.67,2,1
59.89,8.98,1988.38,492.065,379.651,9.57026,1.75,249.027,249.598,246.742,295.096,306.4,245.533,251.774,549.261,270.3769,537.718,560.703,555.931,552.472,539.702,66.47,1.59,2,1
59.89,8.98,499.219,377.258,399.954,9.48047,1.75,253.059,251.169,251.213,295.096,306.4,254.279,251.807,518.506,709.752,530.407,553.515,570.06,562.888,584.009,66.21,1.52,2,1
59.89,8.98,3306.15,610.555,403.221,9.54415,1.74162,249.17,252.539,253.857,295.096,306.4,250.122,251.221,563.883,726.39734,607.71,500.653,362.783,503.863,418.97,66.21,1.52,2,1
59.89,8.98,3703.13,548.706,417.5,9.58864,1.73284,252.026,249.214,254.443,295.096,306.4,249.785,252.07,562.148,743.04266,553.47,531.484,564.106,522.644,551.316,66.41,1.82,2,1
59.89,8.98,3226.56,516.357,412.5,9.56672,1.75,247.632,248.291,251.367,295.096,306.4,247.632,251.367,546.533,759.6879,558.97,606.64,559.04,576.3,586.52,66.41,1.82,2,1
59.89,8.98,3237.3,369.568,399.81985,9.60406,1.76826,246.072,245.292,248.928,295.096,306.4,247.764,248.027,566.853,776.33325,550.934,572.464,567.878,597.468,590.77,64.92,2.98,2,1
59.89,8.98,3667.77,494.72,404.341,9.66838,1.75381,252.345,241.545,246.292,295.096,306.4,248.95,249.335,553.015,792.9786,562.885,556.505,670.9317,571.204,595.979,64.92,2.98,2,1
59.89,8.98,3355.47,498.932,409.424,9.82297,1.75,247.072,245.16,248.884,295.096,306.4,247.39,247.731,559.421,809.6239,571.409,545.195,553.456,571.092,578.687,66.16,1.99,2,1
59.89,8.98,3753.42,444.794,387.085,9.74063,1.75492,250.598,251.697,252.466,295.096,306.4,250.543,249.609,533.521,826.2692,553.31,592.875,569.37,571.68,508.855,66.16,1.99,2,1
59.66,9.09,3727.25,470.551,402.92,9.90754,1.73047,248.807,243.633,248.225,295.096,306.4,249.401,249.554,568.229,817.4602,532.699,575.784,626.9,590.048,650.963,65.58,2.36,2,1
59.66,9.09,3680.57,540.649,396.885,9.99431,1.74,246.654,250.247,249.049,295.096,306.4,248.972,248.39,459.924,468.359,448.176,426.331,447.29,463.254,495.51,66.21,1.83,2,1
59.66,9.09,3769.34,549.042,397.632,10.0202,1.74,251.158,253.136,253.817,295.096,306.4,252.795,254.597,429.844,431.575,466.904,456.716,457.616,442.59,405.408,66.21,1.83,2,1
59.66,9.09,3520.61,546.173,399.58,9.88453,1.74287,251.938,245.555,248.082,295.096,306.4,248.796,249.467,438.553,437.435,448.823,447.381,456.435,461.518,465.818,66.21,1.83,2,1
59.66,9.09,3439.94,578.308,406.787,9.96505,1.77,247.192,250.653,248.181,295.096,306.4,252.081,248.126,462.076,475.075,459.565,424.022,434.708,479.27,513.412,66.21,1.83,2,1
59.66,9.09,3553.81,563.354,397.896,10.0233,1.77,248.137,256.476,249.763,295.096,306.4,246.511,249.401,450.765,452.901,468.357,442.965,444.949,420.516,444.441,65.5,3.42,2,1
59.66,9.09,3486.91,571.289,403.711,9.98366,1.77621,250.049,250.928,249.609,295.096,306.4,249.39,248.95,444.934,453.69,448.91,450.78,449.44,434.61,434.23,65.5,3.42,2,1
59.66,9.09,3388.09,569.641,396.943,9.92715,1.78,249.983,252.114,250.313,295.096,306.4,249.39,250.005,538.876,212.02457,545.436,546.719,571.216,534.692,548.23,64.565,3.865,2,1
59.66,9.09,2912.11,557.861,405.059,9.90902,1.7649,251.016,249.829,249.434,295.096,306.4,249.829,249.917,555.642,560.178,550.016,557.344,523.13,538.218,410.284,64.565,3.865,2,1
59.66,9.09,3179.2,568.298,401.865,9.91514,1.75045,251.147,250.51,249.016,295.096,306.4,249.895,249.961,572.208,542.562,535.884,547.575,556.348,493.97,528.969,64.565,3.865,3,1
59.66,9.09,1443.6167,557.495,392.578,9.89712,1.754,248.555,249.214,249.39,295.096,306.4,250.225,250.137,555.342,539.562,547.754,538.748,533.486,507.41,526.488,62.95,4.97,3,1
59.66,9.09,3598.63,555.115,397.412,9.77308,1.76,251.807,248.95,250.818,295.096,306.4,249.609,250.269,443.433,442.36,449.45,449.61,446.41,467.65,443.89,62.95,4.97,3,1
59.66,9.09,3740.63,541.626,400.43,9.83432,1.7529,251.807,249.785,249.653,295.096,306.4,250.093,250.005,448.638,446.784,428.73,453.826,457.916,458.242,448.358,62.83,5.06,3,1
59.66,9.09,2977.54,549.194,403.945,9.92998,1.75,248.357,248.972,249.39,295.096,306.4,249.961,250.137,441.681,439.418,431.856,461.015,458.198,440.266,471.756,62.83,5.06,3,1
59.66,9.09,3570.31,542.847,406.172,9.97851,1.75,250.84,252.026,251.191,295.096,306.4,250.049,250.225,442.532,446.778,445.24,460.778,454.722,469.442,405.762,64.72,3.51,3,1
59.66,9.09,3621.09,541.626,398.438,9.88608,1.75,249.587,250.269,249.609,295.096,306.4,249.148,248.95,444.484,444.632,460.454,444.962,445.525,440.49,414.76,64.72,3.51,3,1
58.84,11.46,3548.83,535.889,395.508,9.84574,1.74,246.533,251.807,249.39,295.096,306.4,251.807,250.488,472.961,226,445.13,383.98,420.8,442.45,434.23,64.29,3.62,3,1
58.84,11.46,3541.02,552.551,395.039,10.0312,1.75,250.708,249.324,250.708,295.096,306.4,249.631,248.994,478.417,230.2075,450.197,469.528,429.558,453.09,454.923,64.29,3.62,3,1
58.84,11.46,2876.95,548.828,400.898,10.1515,1.75,252.334,250.488,250.093,295.096,306.4,250.796,247.896,451.741,419.14,460.668,503.596,426.636,461.826,409.844,63.62,4.92,3,1
58.84,11.46,3216.41,564.819,411.533,9.99373,1.76,250.488,253.389,249.368,295.096,306.4,250.62,250.906,459.198,462.191,442.43,352.503,378.332,422.504,404.55,65.87,2.13,3,1
58.84,11.46,3536.72,566.772,397.324,9.89603,1.76848,250.884,248.467,248.95,295.096,306.4,255.498,246.885,448.538,443.158,424.624,611.486,570.61,511.666,545.028,65.87,2.13,3,1
58.84,11.46,3391.6,564.575,402.539,9.81877,1.76707,248.401,253.894,249.5,295.096,306.4,250.159,251.477,452.191,459.635,452.415,447.07,424.105,464.29,435.885,65.16,2.77,3,1
58.84,11.46,3483.98,548.706,397.793,9.82727,1.75262,252.07,246.006,249.961,295.096,306.4,249.697,246.226,446.335,447.348,452.248,558.048,592.422,520.178,572.726,65.16,2.77,3,1
58.84,11.46,2905.08,572.388,398.057,9.72264,1.76818,250.576,250.774,249.456,295.096,306.4,247.83,252.158,456.495,452.049,455.059,479.022,391.882,445.362,488.748,65.87,2.03,3,1
58.84,11.46,3293.75,531.616,401.484,9.6614,1.73372,245.215,247.632,248.511,295.096,306.4,249.521,253.916,452.241,451.768,463.364,457.652,447.122,456.45,470.426,65.87,2.03,3,1
58.84,11.46,3430.08,305.664,407.95038,9.90561,1.74072,249.653,247.983,248.906,295.096,306.4,257.805,248.796,447.386,576.433,454.838,425.702,449.768,438.81,493.213,65.92,2.12,3,1
58.84,11.46,3667.97,515.747,391.406,9.96692,1.75,250.708,256.641,249.39,295.096,306.4,249.609,250.049,459.949,435,433.8,359.37,392.71,447.49,429.82,65.92,2.12,3,1
58.82,11.46,4064.45,535.889,412.5,9.68711,1.74,246.533,255.981,249.829,295.096,306.4,250.269,250.049,430.42,457.66,459.16,617.58,518.84,429.56,428.72,65.9,2.4,3,1
58.82,11.46,4149.61,521.362,403.945,9.81782,1.75,251.499,249.346,251.499,295.096,306.4,250.181,249.873,451.04,442.252,444.264,407.502,399.312,463.506,393.514,65.78,2.43,3,1
58.82,11.46,3762.89,522.034,404.707,9.70472,1.74852,251.697,248.225,251.367,295.096,306.4,250.115,248.159,452.592,458.62,461.803,476.367,435.336,451.746,471.144,65.78,2.43,3,1
58.82,11.46,3808.59,514.893,403.887,9.87869,1.76,251.499,251.895,248.071,295.096,306.4,251.06,250.049,447.437,453.466,437.576,409.846,402.398,527.24,524.828,65.15,2.99,3,1
58.82,11.46,3835.94,477.905,399.17,9.69318,1.72259,251.697,251.147,249.609,295.096,306.4,250.488,251.917,456.696,450.295,452.415,414.65,410.055,559.22,475.34,65.15,2.99,3,1
58.82,11.46,3255.86,456.909,401.836,9.6071,1.68814,250.84,246.973,249.917,295.096,306.4,250.093,250.884,458.647,450.974,457.648,521.094,544.61,575.74,635.624,62.95,5.04,3,1
58.82,11.46,4317.58,440.674,401.451,9.90413,1.68,250.928,247.726,249.923,295.096,306.4,249.609,249.829,442.503,456.767,444.744,328.901,434.41,564.3,558.297,62.95,5.04,3,1
58.82,11.46,4021.48,308.929,388.40506,9.92237,1.71074,247.83,255.685,250.488,295.096,306.4,250.082,249.379,427.792,687.646,670.685,400.662,451.008,541.832,615.09674,63.83,4.71,3,1
58.82,11.46,785.19446,305.728,398.20166,9.88151,1.73559,252.005,252.204,248.887,295.096,306.4,250.091,251.137,415.143,769.504,486.909,386.031,371.36,692.683,554.749,63.83,4.71,3,1
58.82,11.46,3353.52,464.63,415.386,9.78886,1.71964,249.829,252.971,249.576,295.096,306.4,250.269,249.807,285.679,493.909,224.421,474.28,572.809,526.647,540.72,64.10398,4.2533703,3,1
58.82,11.46,2710.94,519.623,401.851,9.73666,1.7,247.478,254.004,248.577,295.096,306.4,249.796,248.192,444.859,240.979,455.35,479.884,334.708,523.902,278.25815,64.4,3.76,3,1
58.82,11.46,4654.3,475.464,392.36887,9.74713,1.7,249.719,250.049,249.115,295.096,306.4,247.137,249.39,503.741,798.14417,506.908,446.975,433.465,450.15,421.818,64.4,3.76,3,1
58.82,11.46,4100,529.816,417.349,10.0992,1.70298,252.026,245.753,249.324,295.096,306.4,250.115,250.236,509.122,265.444,511.767,450.471,453.926,512.594,454.704,64.1,3.55,3,1
58.82,11.46,4147.17,589.172,415.26245,10.0113,1.72,250.609,249.829,249.829,295.096,306.4,250.291,250.367,524.437,826.82275,493.906,296.679,301.22,433.26,360.492,64.1,3.55,3,1
58.82,11.46,2983.3,532.288,405.234,9.78966,1.72188,250.664,252.048,247.874,295.096,306.4,250.049,248.302,503.992,227.77913,464.416,460.627,409.23,444.853,438.152,64.29,3.06,3,1
58.82,11.46,2666.11,536.682,401.177,9.67818,1.73367,247.423,253.213,249.829,295.096,306.4,250.203,249.697,497.761,700.982,501.513,463.049,470.645,453.902,480.831,64.29,3.06,3,1
59.05,11.2,2926.76,539.551,394.015,9.70875,1.74923,250.164,250.771,250.823,295.096,306.4,249.883,250.216,504.85,485.381,496.596,454.07,459.562,461.757,469.47,66.55,1.44,3,1
59.05,11.2,3958.98,552.429,401.484,9.8362,1.74522,248.884,251.565,250.247,295.096,306.4,249.873,250.225,492.13,509.931,487.372,450.859,449.552,435.113,439.196,66.55,1.44,3,1
59.05,11.2,4103.81,556.641,411.328,9.92769,1.75,250.269,253.784,251.147,295.096,306.4,250.049,252.686,506.494,500.7,472.11,445.31,438.42,421.16,445.82,66.25,1.59,3,1
59.05,11.2,3665.63,541.992,411.68,9.94628,1.76,250.313,252.312,251.323,295.096,306.4,250.884,249.631,507.145,512.373,479.228,499.257,501.046,505.842,494.486,66.92,1.52,3,1
59.05,11.2,3858.98,521.729,397.559,9.77197,1.76,251.06,251.06,249.258,295.096,306.4,250.049,250.313,509.797,487.112,506.206,485,470.37,498.674,497.91,66.92,1.52,3,1
59.05,11.2,3824.71,530.273,407.432,9.79483,1.763,250.334,250.334,249.829,295.096,306.4,250.027,249.543,488.076,511.464,514.031,501.131,500.44,506.682,530.072,66.17,1.96,3,1
59.05,11.2,4366.8,508.789,401.191,9.90153,1.76,250.972,255.059,252.861,295.096,306.4,252.686,249.258,485.674,511.922,516.35,530.856,499.448,490.386,502.984,66.17,1.96,4,1
59.05,11.2,3855.47,307.922,394.87762,9.97847,1.79517,249.829,246.533,250.269,295.096,306.4,247.192,250.708,840.02014,820.51776,880.18713,593.16,586.305,575.46,588.45,67.11,1.9,4,1
59.05,11.2,4233.5,307.892,410.88837,9.97255,1.8480556,251.807,251.049,250.455,295.096,306.4,250.807,249.225,827.1773,795.83636,877.4345,446.932,534.367,698.194,616.342,67.11,1.9,4,1
59.05,11.2,4034.08,488.342,396.987,9.9116,1.77,252.158,249.906,250.258,295.096,306.4,253.488,251.213,176.35526,225.46574,161.242,390.546,523.101,644.154,588.778,67.11,1.9,4,1
59.05,11.2,3621.09,462.036,395.508,9.93807,1.76525,253.345,252.686,252.026,295.096,306.4,250.928,250.928,566.052,534.69,558.44,521.48,543.62,521.97,546.24,67.11,1.9,4,1
59.05,11.2,4014.26,532.488,397.475,9.93046,1.77,250.582,252.121,250.363,295.096,306.4,247.82,248.887,549.679,555.077,563.136,543.693,544.09,567.18,546.007,66.29,1.09,4,1
59.05,11.2,3810.55,540.771,400.488,10.0261,1.77,253.345,241.919,250.049,295.096,306.4,253.784,250.488,526.514,548.85,558.97,545.31,540.87,544.94,511.48,67.22,1,4,1
59.05,11.2,3771.29,525.879,399.639,10.117,1.76,249.06,247.368,249.895,295.096,306.4,251.06,248.972,548.035,557.624,545.166,564.181,578.321,577.252,596.448,67.22,1,4,1
59.05,11.2,1051.084,541.26,399.902,10.0294,1.76697,250.444,253.696,250.093,295.096,306.4,250.049,252.422,571.658,543.64,539.552,555.002,564.334,530.604,593.798,66.97,1,4,1
59.05,11.2,1909.8921,408.51562,401.67053,9.50663,1.5265474,247.478,249.763,248.005,295.096,306.4,249.082,251.301,857.43976,739.161,874.35895,673.1184,373.046,689.5562,337.62,66.97,1,4,1
57.35,12.27,2473.0908,358.643,399.375,8.90304,1.53034,250.313,255.542,251.191,295.096,306.4,251.411,251.763,568.154,419.14,717.174,555.234,201.256,530.038,199.65231,66.24,1.04,4,1
57.35,12.27,4077.15,390.625,405.908,9.24623,1.59914,253.125,248.73,249.28,295.096,306.4,248.73,250.269,550.537,324.265,466.445,540.035,493.5,568.18,444.715,66.24,1.04,4,1
57.35,12.27,3848.44,425.171,404.941,9.5731,1.66248,253.213,255.981,251.938,295.096,306.4,250.093,251.631,542.93,216.44069,528.332,547.262,574.574,534.972,544.032,67.04,1.25,4,1
57.35,12.27,3121.68,465.576,397.119,9.73178,1.71528,247.566,248.489,249.565,295.096,306.4,249.961,248.928,534.521,255.35214,567.502,532.615,539.433,535.028,544.258,67.04,1.25,4,1
57.35,12.27,4217.58,477.051,399.844,9.8748,1.74,251.895,248.774,251.982,295.096,306.4,250.84,248.247,555.742,264.176,528.324,593.754,622.712,546.62,577.47,66.42,2.46,4,1
57.35,12.27,4300.78,450.195,399.946,10.1444,1.73417,251.796,249.005,249.379,295.096,306.4,249.862,248.763,558.87,528.708,497.875,487.418,428.063,540.74,457.577,66.44,2.67,4,1
